"date","station","do","do_sat","doy","year","month"
1991-01-08,"21",NA,NA,8,1991,1
1991-01-08,"22",NA,NA,8,1991,1
1991-01-08,"24",NA,NA,8,1991,1
1991-01-08,"27",NA,NA,8,1991,1
1991-01-08,"30",NA,NA,8,1991,1
1991-01-08,"32",NA,NA,8,1991,1
1991-02-06,"18",NA,NA,37,1991,2
1991-02-06,"21",NA,NA,37,1991,2
1991-02-06,"22",NA,NA,37,1991,2
1991-02-06,"24",NA,NA,37,1991,2
1991-02-06,"27",NA,NA,37,1991,2
1991-02-06,"30",NA,NA,37,1991,2
1991-02-06,"32",NA,NA,37,1991,2
1991-02-12,"30",NA,NA,43,1991,2
1991-02-12,"32",NA,NA,43,1991,2
1991-02-12,"34",NA,NA,43,1991,2
1991-03-05,"21",NA,NA,64,1991,3
1991-03-05,"22",NA,NA,64,1991,3
1991-03-05,"24",NA,NA,64,1991,3
1991-03-05,"27",NA,NA,64,1991,3
1991-03-05,"30",NA,NA,64,1991,3
1991-03-05,"32",NA,NA,64,1991,3
1991-03-11,"18",NA,NA,70,1991,3
1991-03-11,"21",NA,NA,70,1991,3
1991-03-11,"22",NA,NA,70,1991,3
1991-03-11,"24",NA,NA,70,1991,3
1991-03-11,"27",NA,NA,70,1991,3
1991-03-11,"30",NA,NA,70,1991,3
1991-03-11,"32",NA,NA,70,1991,3
1991-03-19,"21",NA,NA,78,1991,3
1991-03-19,"22",NA,NA,78,1991,3
1991-03-19,"24",NA,NA,78,1991,3
1991-03-19,"27",NA,NA,78,1991,3
1991-03-19,"30",NA,NA,78,1991,3
1991-03-19,"32",NA,NA,78,1991,3
1991-03-26,"30",NA,NA,85,1991,3
1991-03-26,"32",NA,NA,85,1991,3
1991-04-01,"21",NA,NA,91,1991,4
1991-04-01,"22",NA,NA,91,1991,4
1991-04-01,"24",NA,NA,91,1991,4
1991-04-01,"27",NA,NA,91,1991,4
1991-04-01,"30",NA,NA,91,1991,4
1991-04-01,"32",NA,NA,91,1991,4
1991-04-05,"21",NA,NA,95,1991,4
1991-04-05,"22",NA,NA,95,1991,4
1991-04-05,"24",NA,NA,95,1991,4
1991-04-05,"27",NA,NA,95,1991,4
1991-04-05,"30",NA,NA,95,1991,4
1991-04-05,"32",NA,NA,95,1991,4
1991-04-08,"24",NA,NA,98,1991,4
1991-04-08,"27",NA,NA,98,1991,4
1991-04-08,"36",NA,NA,98,1991,4
1991-04-11,"18",NA,NA,101,1991,4
1991-04-11,"21",NA,NA,101,1991,4
1991-04-11,"22",NA,NA,101,1991,4
1991-04-11,"24",NA,NA,101,1991,4
1991-04-11,"27",NA,NA,101,1991,4
1991-04-11,"30",NA,NA,101,1991,4
1991-04-11,"32",NA,NA,101,1991,4
1991-04-15,"24",NA,NA,105,1991,4
1991-04-15,"27",NA,NA,105,1991,4
1991-04-15,"30",NA,NA,105,1991,4
1991-04-15,"32",NA,NA,105,1991,4
1991-04-19,"21",NA,NA,109,1991,4
1991-04-19,"22",NA,NA,109,1991,4
1991-04-19,"24",NA,NA,109,1991,4
1991-04-19,"27",NA,NA,109,1991,4
1991-04-19,"30",NA,NA,109,1991,4
1991-04-19,"32",NA,NA,109,1991,4
1991-04-25,"24",NA,NA,115,1991,4
1991-04-25,"27",NA,NA,115,1991,4
1991-04-25,"30",NA,NA,115,1991,4
1991-04-25,"32",NA,NA,115,1991,4
1991-05-08,"21",NA,NA,128,1991,5
1991-05-08,"24",NA,NA,128,1991,5
1991-05-08,"27",NA,NA,128,1991,5
1991-05-08,"30",NA,NA,128,1991,5
1991-05-08,"32",NA,NA,128,1991,5
1991-06-05,"18",NA,NA,156,1991,6
1991-06-05,"21",NA,NA,156,1991,6
1991-06-05,"22",NA,NA,156,1991,6
1991-06-05,"24",NA,NA,156,1991,6
1991-06-05,"27",NA,NA,156,1991,6
1991-06-05,"30",NA,NA,156,1991,6
1991-06-05,"32",NA,NA,156,1991,6
1991-08-01,"18",NA,NA,213,1991,8
1991-08-02,"24",NA,NA,214,1991,8
1991-08-02,"27",NA,NA,214,1991,8
1991-08-02,"30",NA,NA,214,1991,8
1991-08-02,"32",NA,NA,214,1991,8
1991-09-30,"18",NA,NA,273,1991,9
1991-09-30,"21",NA,NA,273,1991,9
1991-09-30,"22",NA,NA,273,1991,9
1991-09-30,"24",NA,NA,273,1991,9
1991-09-30,"27",NA,NA,273,1991,9
1991-09-30,"30",NA,NA,273,1991,9
1991-11-20,"18",NA,NA,324,1991,11
1991-11-20,"21",NA,NA,324,1991,11
1991-11-20,"22",NA,NA,324,1991,11
1991-11-20,"24",NA,NA,324,1991,11
1991-11-20,"27",NA,NA,324,1991,11
1991-11-20,"30",NA,NA,324,1991,11
1991-12-10,"18",NA,NA,344,1991,12
1991-12-10,"21",NA,NA,344,1991,12
1991-12-10,"22",NA,NA,344,1991,12
1991-12-10,"24",NA,NA,344,1991,12
1991-12-10,"27",NA,NA,344,1991,12
1991-12-10,"30",NA,NA,344,1991,12
1992-01-07,"18",NA,NA,7,1992,1
1992-01-07,"21",NA,NA,7,1992,1
1992-01-07,"22",NA,NA,7,1992,1
1992-01-07,"24",NA,NA,7,1992,1
1992-01-07,"27",NA,NA,7,1992,1
1992-01-07,"30",NA,NA,7,1992,1
1992-02-05,"18",NA,NA,36,1992,2
1992-02-05,"21",NA,NA,36,1992,2
1992-02-05,"22",NA,NA,36,1992,2
1992-02-05,"24",NA,NA,36,1992,2
1992-02-05,"27",NA,NA,36,1992,2
1992-02-05,"30",NA,NA,36,1992,2
1992-02-19,"18",NA,NA,50,1992,2
1992-02-19,"21",NA,NA,50,1992,2
1992-02-19,"22",NA,NA,50,1992,2
1992-02-19,"24",NA,NA,50,1992,2
1992-02-19,"27",NA,NA,50,1992,2
1992-02-19,"30",NA,NA,50,1992,2
1992-02-19,"32",NA,NA,50,1992,2
1992-02-27,"27",NA,NA,58,1992,2
1992-02-27,"30",NA,NA,58,1992,2
1992-02-27,"32",NA,NA,58,1992,2
1992-02-27,"34",NA,NA,58,1992,2
1992-02-27,"36",NA,NA,58,1992,2
1992-03-04,"18",NA,NA,64,1992,3
1992-03-04,"21",NA,NA,64,1992,3
1992-03-04,"22",NA,NA,64,1992,3
1992-03-04,"24",NA,NA,64,1992,3
1992-03-04,"27",NA,NA,64,1992,3
1992-03-04,"30",NA,NA,64,1992,3
1992-03-04,"32",NA,NA,64,1992,3
1992-03-12,"24",NA,NA,72,1992,3
1992-03-12,"27",NA,NA,72,1992,3
1992-03-12,"30",NA,NA,72,1992,3
1992-03-12,"32",NA,NA,72,1992,3
1992-03-12,"34",NA,NA,72,1992,3
1992-03-12,"36",NA,NA,72,1992,3
1992-03-23,"21",NA,NA,83,1992,3
1992-03-23,"22",NA,NA,83,1992,3
1992-03-23,"24",NA,NA,83,1992,3
1992-03-23,"27",NA,NA,83,1992,3
1992-03-23,"30",NA,NA,83,1992,3
1992-03-23,"32",NA,NA,83,1992,3
1992-03-23,"34",NA,NA,83,1992,3
1992-03-23,"36",NA,NA,83,1992,3
1992-04-01,"21",NA,NA,92,1992,4
1992-04-01,"22",NA,NA,92,1992,4
1992-04-01,"24",NA,NA,92,1992,4
1992-04-01,"27",NA,NA,92,1992,4
1992-04-01,"30",NA,NA,92,1992,4
1992-04-01,"32",NA,NA,92,1992,4
1992-04-01,"34",NA,NA,92,1992,4
1992-04-01,"36",NA,NA,92,1992,4
1992-04-07,"18",NA,NA,98,1992,4
1992-04-08,"21",NA,NA,99,1992,4
1992-04-08,"22",NA,NA,99,1992,4
1992-04-08,"24",NA,NA,99,1992,4
1992-04-08,"27",NA,NA,99,1992,4
1992-04-08,"30",NA,NA,99,1992,4
1992-04-08,"32",NA,NA,99,1992,4
1992-04-08,"34",NA,NA,99,1992,4
1992-04-08,"36",NA,NA,99,1992,4
1992-04-14,"24",NA,NA,105,1992,4
1992-04-14,"27",NA,NA,105,1992,4
1992-04-14,"30",NA,NA,105,1992,4
1992-04-14,"32",NA,NA,105,1992,4
1992-04-14,"34",NA,NA,105,1992,4
1992-04-14,"36",NA,NA,105,1992,4
1992-04-17,"30",NA,NA,108,1992,4
1992-04-17,"32",NA,NA,108,1992,4
1992-04-17,"34",NA,NA,108,1992,4
1992-04-17,"36",NA,NA,108,1992,4
1992-04-22,"21",NA,NA,113,1992,4
1992-04-22,"22",NA,NA,113,1992,4
1992-04-22,"24",NA,NA,113,1992,4
1992-04-22,"27",NA,NA,113,1992,4
1992-04-22,"30",NA,NA,113,1992,4
1992-04-22,"32",NA,NA,113,1992,4
1992-04-22,"34",NA,NA,113,1992,4
1992-04-22,"36",NA,NA,113,1992,4
1992-05-01,"21",NA,NA,122,1992,5
1992-05-01,"22",NA,NA,122,1992,5
1992-05-01,"24",NA,NA,122,1992,5
1992-05-01,"27",NA,NA,122,1992,5
1992-05-01,"30",NA,NA,122,1992,5
1992-05-01,"32",NA,NA,122,1992,5
1992-05-01,"34",NA,NA,122,1992,5
1992-05-01,"36",NA,NA,122,1992,5
1992-05-07,"21",NA,NA,128,1992,5
1992-05-07,"22",NA,NA,128,1992,5
1992-05-07,"24",NA,NA,128,1992,5
1992-05-07,"27",NA,NA,128,1992,5
1992-05-07,"30",NA,NA,128,1992,5
1992-05-07,"32",NA,NA,128,1992,5
1992-05-07,"34",NA,NA,128,1992,5
1992-05-07,"36",NA,NA,128,1992,5
1992-05-12,"30",NA,NA,133,1992,5
1992-05-12,"32",NA,NA,133,1992,5
1992-05-12,"34",NA,NA,133,1992,5
1992-05-12,"36",NA,NA,133,1992,5
1992-05-19,"24",NA,NA,140,1992,5
1992-05-19,"27",NA,NA,140,1992,5
1992-05-19,"30",NA,NA,140,1992,5
1992-05-19,"32",NA,NA,140,1992,5
1992-05-19,"34",NA,NA,140,1992,5
1992-05-19,"36",NA,NA,140,1992,5
1992-05-27,"18",NA,NA,148,1992,5
1992-05-28,"21",NA,NA,149,1992,5
1992-05-28,"22",NA,NA,149,1992,5
1992-05-28,"24",NA,NA,149,1992,5
1992-05-28,"27",NA,NA,149,1992,5
1992-05-28,"30",NA,NA,149,1992,5
1992-05-28,"32",NA,NA,149,1992,5
1992-06-11,"30",NA,NA,163,1992,6
1992-06-11,"32",NA,NA,163,1992,6
1992-06-11,"34",NA,NA,163,1992,6
1992-06-11,"36",NA,NA,163,1992,6
1992-06-16,"18",NA,NA,168,1992,6
1992-06-16,"21",NA,NA,168,1992,6
1992-06-16,"22",NA,NA,168,1992,6
1992-06-16,"24",NA,NA,168,1992,6
1992-06-16,"27",NA,NA,168,1992,6
1992-06-16,"30",NA,NA,168,1992,6
1992-06-16,"32",NA,NA,168,1992,6
1992-06-16,"34",NA,NA,168,1992,6
1992-06-16,"36",NA,NA,168,1992,6
1992-06-23,"30",NA,NA,175,1992,6
1992-06-23,"32",NA,NA,175,1992,6
1992-06-23,"34",NA,NA,175,1992,6
1992-06-23,"36",NA,NA,175,1992,6
1992-06-29,"30",NA,NA,181,1992,6
1992-06-29,"32",NA,NA,181,1992,6
1992-06-29,"34",NA,NA,181,1992,6
1992-06-29,"36",NA,NA,181,1992,6
1992-07-09,"30",NA,NA,191,1992,7
1992-07-09,"32",NA,NA,191,1992,7
1992-07-09,"34",NA,NA,191,1992,7
1992-07-09,"36",NA,NA,191,1992,7
1992-07-20,"30",NA,NA,202,1992,7
1992-07-20,"32",NA,NA,202,1992,7
1992-07-20,"34",NA,NA,202,1992,7
1992-07-20,"36",NA,NA,202,1992,7
1992-07-23,"30",NA,NA,205,1992,7
1992-07-23,"32",NA,NA,205,1992,7
1992-07-23,"34",NA,NA,205,1992,7
1992-07-23,"36",NA,NA,205,1992,7
1992-07-28,"21",NA,NA,210,1992,7
1992-07-28,"22",NA,NA,210,1992,7
1992-07-28,"24",NA,NA,210,1992,7
1992-07-28,"27",NA,NA,210,1992,7
1992-07-28,"30",NA,NA,210,1992,7
