"date","station","do","do_sat","doy","year","month"
1992-07-28,"32",NA,NA,210,1992,7
1992-07-28,"34",NA,NA,210,1992,7
1992-07-28,"36",NA,NA,210,1992,7
1992-08-18,"30",NA,NA,231,1992,8
1992-08-18,"32",NA,NA,231,1992,8
1992-08-18,"34",NA,NA,231,1992,8
1992-08-18,"36",NA,NA,231,1992,8
1992-08-26,"18",NA,NA,239,1992,8
1992-08-26,"21",NA,NA,239,1992,8
1992-08-26,"22",NA,NA,239,1992,8
1992-08-26,"24",NA,NA,239,1992,8
1992-08-26,"27",NA,NA,239,1992,8
1992-08-26,"30",NA,NA,239,1992,8
1992-08-26,"32",NA,NA,239,1992,8
1992-08-26,"34",NA,NA,239,1992,8
1992-08-26,"36",NA,NA,239,1992,8
1992-09-03,"30",NA,NA,247,1992,9
1992-09-03,"32",NA,NA,247,1992,9
1992-09-03,"34",NA,NA,247,1992,9
1992-09-03,"36",NA,NA,247,1992,9
1992-09-29,"18",NA,NA,273,1992,9
1992-09-29,"21",NA,NA,273,1992,9
1992-09-29,"22",NA,NA,273,1992,9
1992-09-29,"24",NA,NA,273,1992,9
1992-09-29,"27",NA,NA,273,1992,9
1992-09-29,"30",NA,NA,273,1992,9
1992-09-29,"32",NA,NA,273,1992,9
1992-09-29,"34",NA,NA,273,1992,9
1992-09-29,"36",NA,NA,273,1992,9
1992-11-03,"18",NA,NA,308,1992,11
1992-11-03,"21",NA,NA,308,1992,11
1992-11-03,"22",NA,NA,308,1992,11
1992-11-03,"24",NA,NA,308,1992,11
1992-11-03,"27",NA,NA,308,1992,11
1992-11-03,"30",NA,NA,308,1992,11
1992-11-03,"32",NA,NA,308,1992,11
1992-11-03,"34",NA,NA,308,1992,11
1992-11-03,"36",NA,NA,308,1992,11
1992-12-02,"18",NA,NA,337,1992,12
1992-12-03,"21",NA,NA,338,1992,12
1992-12-03,"22",NA,NA,338,1992,12
1992-12-03,"24",NA,NA,338,1992,12
1992-12-03,"27",NA,NA,338,1992,12
1992-12-03,"30",NA,NA,338,1992,12
1992-12-03,"32",NA,NA,338,1992,12
1992-12-03,"34",NA,NA,338,1992,12
1992-12-03,"36",NA,NA,338,1992,12
1993-01-05,"21",8.8875,0.937152529588894,5,1993,1
1993-01-05,"22",8.9,0.938902354800706,5,1993,1
1993-01-05,"24",8.9,0.934737107575058,5,1993,1
1993-01-05,"27",8.9,0.934254182178137,5,1993,1
1993-01-05,"30",8.9,0.937178940888473,5,1993,1
1993-01-05,"32",8.9,0.929567695893627,5,1993,1
1993-01-26,"18",9.1741935483871,0.997951626968365,26,1993,1
1993-01-26,"21",NA,NA,26,1993,1
1993-01-26,"22",NA,NA,26,1993,1
1993-01-26,"24",NA,NA,26,1993,1
1993-01-26,"27",NA,NA,26,1993,1
1993-01-26,"30",NA,NA,26,1993,1
1993-01-26,"32",NA,NA,26,1993,1
1993-01-26,"34",NA,NA,26,1993,1
1993-01-26,"36",NA,NA,26,1993,1
1993-02-16,"24",8.9,0.951899179968964,47,1993,2
1993-02-16,"27",9,0.962939972743919,47,1993,2
1993-02-16,"30",9.01,0.951069256777517,47,1993,2
1993-02-16,"32",8.9,0.932280887132601,47,1993,2
1993-02-16,"34",9,0.94078744704457,47,1993,2
1993-02-16,"36",8.9,0.927945875106586,47,1993,2
1993-02-24,"18",8.86774193548387,0.961858901788599,55,1993,2
1993-02-24,"21",9.1125,0.954132496309242,55,1993,2
1993-02-24,"22",9.075,0.948923992247946,55,1993,2
1993-02-24,"24",9.02222222222222,0.950099560651185,55,1993,2
1993-02-24,"27",9.1,0.956996281949281,55,1993,2
1993-02-24,"30",9.06,0.944591143869124,55,1993,2
1993-02-24,"32",9.07777777777778,0.935729627508704,55,1993,2
1993-02-24,"34",9,0.917100484547265,55,1993,2
1993-02-24,"36",NA,NA,55,1993,2
1993-03-11,"24",9.8,1.07691053492799,70,1993,3
1993-03-11,"27",9.9,1.08165525257726,70,1993,3
1993-03-11,"30",9.9,1.08938235225726,70,1993,3
1993-03-11,"32",9.8,1.08174785821908,70,1993,3
1993-03-11,"34",9.65,1.06444214427325,70,1993,3
1993-03-11,"36",9.66,1.06205971154327,70,1993,3
1993-03-18,"24",9.96666666666667,1.13365772780757,77,1993,3
1993-03-18,"27",11.13,1.26420877176629,77,1993,3
1993-03-18,"30",10.95,1.23975113386571,77,1993,3
1993-03-18,"32",10.1777777777778,1.14950089019313,77,1993,3
1993-03-18,"34",11.25,1.27873666304659,77,1993,3
1993-03-18,"36",9.4,1.05598572752955,77,1993,3
1993-03-25,"21",9.41875,1.0734292973282,84,1993,3
1993-03-25,"22",9.14117647058823,1.03524010249165,84,1993,3
1993-03-25,"24",10.0666666666667,1.14861164126276,84,1993,3
1993-03-25,"27",12.16,1.39208016590154,84,1993,3
1993-03-25,"30",11.79,1.34377988026568,84,1993,3
1993-03-25,"32",12.6222222222222,1.44523485441864,84,1993,3
1993-03-25,"34",11.675,1.32572765039514,84,1993,3
1993-03-25,"36",11.14,1.26040456119609,84,1993,3
1993-03-30,"21",8.8875,0.974249495997772,89,1993,3
1993-03-30,"22",9.13125,1.00429603411458,89,1993,3
1993-03-30,"24",9.41111111111111,1.05755492550645,89,1993,3
1993-03-30,"27",10.67,1.19569478477627,89,1993,3
1993-03-30,"30",9.34,1.0416118063583,89,1993,3
1993-03-30,"32",9.68888888888889,1.06706948117835,89,1993,3
1993-03-30,"34",9.45,1.02075487018089,89,1993,3
1993-03-30,"36",8.54,0.927916437718932,89,1993,3
1993-04-06,"21",9.70625,1.06651323658927,96,1993,4
1993-04-06,"22",9.65882352941176,1.05796196890047,96,1993,4
1993-04-06,"24",9.94444444444444,1.09708065358915,96,1993,4
1993-04-06,"27",9.9,1.10986656211473,96,1993,4
1993-04-06,"30",9.7,1.09743070807373,96,1993,4
1993-04-06,"32",9.61111111111111,1.0939228948782,96,1993,4
1993-04-06,"34",9.35,1.06151921719926,96,1993,4
1993-04-06,"36",9,1.01981220983297,96,1993,4
1993-04-15,"18",7.2,0.796881635205348,105,1993,4
1993-04-15,"21",7.81875,0.870612690532704,105,1993,4
1993-04-15,"22",7.74705882352941,0.862317439817534,105,1993,4
1993-04-15,"24",8.92222222222222,0.994531794161873,105,1993,4
1993-04-15,"27",8.69,0.980396635409451,105,1993,4
1993-04-15,"30",8.7,0.985357949515019,105,1993,4
1993-04-15,"32",7.64444444444444,0.869188159120885,105,1993,4
1993-04-15,"34",NA,NA,105,1993,4
1993-04-15,"36",6.8,0.760765921376486,105,1993,4
1993-04-22,"24",9.47777777777778,1.0790951475897,112,1993,4
1993-04-22,"27",10.1,1.15994418578228,112,1993,4
1993-04-22,"30",8.49,0.973645232990147,112,1993,4
1993-04-22,"32",8.22222222222222,0.949371955963077,112,1993,4
1993-04-22,"34",8.125,0.936594674536628,112,1993,4
1993-04-22,"36",8.04,0.908448845228823,112,1993,4
1993-04-30,"24",8.32222222222222,0.970967645302596,120,1993,4
1993-04-30,"27",7.91,0.929438488925626,120,1993,4
1993-04-30,"30",7.56,0.89117940782407,120,1993,4
1993-04-30,"32",7.46666666666667,0.888252267881963,120,1993,4
1993-04-30,"34",7.225,0.854175183273421,120,1993,4
1993-04-30,"36",7.1,0.834372763641622,120,1993,4
1993-05-12,"18",7.73548387096774,0.872347490316447,132,1993,5
1993-05-12,"21",7.64375,0.884769372645361,132,1993,5
1993-05-12,"22",7.67647058823529,0.885066074244008,132,1993,5
1993-05-12,"24",7.8,0.911415691590809,132,1993,5
1993-05-12,"27",7.4,0.873882226827383,132,1993,5
1993-05-12,"30",7.6,0.892919642637418,132,1993,5
1993-05-12,"32",7.54444444444444,0.881378372463303,132,1993,5
1993-05-12,"34",7.525,0.870753800611435,132,1993,5
1993-05-12,"36",7.3,0.852706124212766,132,1993,5
1993-05-19,"21",8.1375,0.946792405142133,139,1993,5
1993-05-19,"22",8.39411764705882,0.978637281830865,139,1993,5
1993-05-19,"24",7.95555555555556,0.936403673445261,139,1993,5
1993-05-19,"27",8.25,0.995633275897662,139,1993,5
1993-05-19,"30",8.17,0.991644148265623,139,1993,5
1993-05-19,"32",7.83333333333333,0.953091504501242,139,1993,5
1993-06-02,"21",7.775,0.943298074900619,153,1993,6
1993-06-02,"22",7.67647058823529,0.929951454397945,153,1993,6
1993-06-02,"24",7.54444444444444,0.925711042300858,153,1993,6
1993-06-02,"27",7.62,0.954913151158567,153,1993,6
1993-06-02,"30",7.6,0.95583421017759,153,1993,6
1993-06-02,"32",7.43333333333333,0.937011586064201,153,1993,6
1993-06-14,"18",7.41290322580645,0.858835880097676,165,1993,6
1993-06-14,"21",7.775,0.937796718311376,165,1993,6
1993-06-14,"22",7.92352941176471,0.954604355821942,165,1993,6
1993-06-14,"24",8.68888888888889,1.08453799242379,165,1993,6
1993-06-14,"27",8.09,1.01018577557089,165,1993,6
1993-06-14,"30",8.09,1.02551379860749,165,1993,6
1993-06-14,"32",8.1,1.03847494050157,165,1993,6
1993-06-14,"34",7.9,1.01520068773454,165,1993,6
1993-06-14,"36",7.9,1.00393570572729,165,1993,6
1993-07-13,"18",8.37096774193548,1.00994093113491,194,1993,7
1993-07-13,"21",8.11875,1.00360757943409,194,1993,7
1993-07-13,"22",8.2,1.01344170389265,194,1993,7
1993-07-13,"24",7.7,0.967457635637784,194,1993,7
1993-07-13,"27",7.21,0.94199705350707,194,1993,7
1993-07-13,"30",6.8,0.900538578899081,194,1993,7
1993-07-13,"32",6.96666666666667,0.932953398990644,194,1993,7
1993-07-13,"34",6.525,0.872892308571783,194,1993,7
1993-07-13,"36",6.22,0.824245101010323,194,1993,7
1993-08-10,"18",7.47741935483871,0.926365688433619,222,1993,8
1993-08-10,"21",7.5375,0.953698079896689,222,1993,8
1993-08-10,"22",7.45294117647059,0.946071696919523,222,1993,8
1993-08-10,"24",7.08888888888889,0.912305171853146,222,1993,8
1993-08-10,"27",7.28,0.961954898593495,222,1993,8
1993-08-10,"30",7.37,0.97362616092506,222,1993,8
1993-08-10,"32",7.24444444444444,0.953535691653582,222,1993,8
1993-08-10,"34",7.5,0.9870688433254,222,1993,8
1993-08-10,"36",7.26,0.955371081874017,222,1993,8
1993-09-08,"18",7.60645161290323,0.946189779298877,251,1993,9
1993-09-08,"21",7.20625,0.924452006527894,251,1993,9
1993-09-08,"22",7.27058823529412,0.926766140229523,251,1993,9
1993-09-08,"24",7.13333333333333,0.931189979885054,251,1993,9
1993-09-08,"27",6.86,0.906515278164532,251,1993,9
1993-09-08,"30",6.92,0.918349444448261,251,1993,9
1993-09-08,"32",7.16666666666667,0.95433583281089,251,1993,9
1993-09-08,"34",6.725,0.89710649674654,251,1993,9
1993-09-08,"36",6.86,0.911783468562364,251,1993,9
1993-10-05,"18",7.34193548387097,0.872711007310189,278,1993,10
1993-10-05,"21",7.43125,0.899904828836523,278,1993,10
1993-10-05,"22",7.27058823529412,0.882199668385629,278,1993,10
1993-10-05,"24",7.3,0.904763483799394,278,1993,10
1993-10-05,"27",7.51,0.950093441751459,278,1993,10
1993-10-05,"30",7.3,0.930457422125557,278,1993,10
1993-10-05,"32",7.2,0.91439247704052,278,1993,10
1993-10-05,"34",7.075,0.887531945092734,278,1993,10
1993-10-05,"36",7.02,0.881962771163419,278,1993,10
1993-11-08,"18",7.54516129032258,0.910149458592696,312,1993,11
1993-11-09,"21",7.0125,0.867155050084392,313,1993,11
1993-11-09,"22",7,0.866863107252683,313,1993,11
1993-11-09,"24",6.9,0.863902999123283,313,1993,11
1993-11-09,"27",7.3,0.913535955737314,313,1993,11
1993-11-09,"30",7.43,0.924916703862064,313,1993,11
1993-11-09,"32",7.43333333333333,0.917527843203258,313,1993,11
1993-11-09,"34",7.1,0.870775397557784,313,1993,11
1993-11-09,"36",7.46,0.911832319824415,313,1993,11
1993-12-07,"18",8.3,0.9502181642091,341,1993,12
1993-12-08,"21",8.1,0.908706892518364,342,1993,12
1993-12-08,"22",7.65294117647059,0.862336282290761,342,1993,12
1993-12-08,"24",8.13333333333333,0.917981089424562,342,1993,12
1993-12-08,"27",8.21,0.925660800579006,342,1993,12
1993-12-08,"30",8.17,0.915140745329466,342,1993,12
1993-12-08,"32",8.26666666666667,0.918727973482176,342,1993,12
1993-12-08,"34",8.3,0.919147353704017,342,1993,12
1993-12-08,"36",8.16,0.899576711931049,342,1993,12
1994-01-18,"18",8.91052631578947,0.979574266161508,18,1994,1
1994-01-19,"21",8.6,0.936849273532841,19,1994,1
1994-01-19,"22",8.6,0.941380865694204,19,1994,1
1994-01-19,"24",8.6,0.938285262839116,19,1994,1
1994-01-19,"27",8.6,0.928321892250546,19,1994,1
1994-01-19,"30",8.6,0.922138595100854,19,1994,1
1994-01-19,"32",8.6,0.921191836905803,19,1994,1
1994-01-19,"34",8.6,0.918477234748148,19,1994,1
1994-01-19,"36",8.6,0.918621393002186,19,1994,1
1994-02-02,"24",8.3,0.906669090722162,33,1994,2
1994-02-02,"27",8.37,0.907912179783007,33,1994,2
1994-02-02,"30",8.09,0.87153880967965,33,1994,2
1994-02-02,"32",8.1,0.860856032724217,33,1994,2
1994-02-02,"34",8,0.839882993291534,33,1994,2
1994-02-02,"36",7.9,0.819402051871274,33,1994,2
1994-02-16,"18",8.97741935483871,0.990525439867478,47,1994,2
1994-02-17,"21",8.95625,0.989123200810453,48,1994,2
1994-02-17,"22",8.98235294117647,0.99170988122685,48,1994,2
1994-02-17,"24",9,0.984756548641668,48,1994,2
1994-02-17,"27",9,0.986190698676684,48,1994,2
1994-02-17,"30",8.98,0.979313818698302,48,1994,2
1994-02-17,"32",9.02222222222222,0.978232913384995,48,1994,2
1994-02-17,"34",8.975,0.968565385618724,48,1994,2
1994-02-17,"36",9,0.969140990218524,48,1994,2
1994-02-25,"21",8.5125,0.939552824977135,56,1994,2
1994-02-25,"22",8.34117647058824,0.916544648921275,56,1994,2
1994-02-25,"24",8.4,0.913952098875441,56,1994,2
1994-02-25,"27",8.77,0.951188350781272,56,1994,2
1994-02-25,"30",10.4,1.12848408311642,56,1994,2
1994-02-25,"32",10.3555555555556,1.12381452905916,56,1994,2
1994-02-25,"34",9.95,1.07915943830739,56,1994,2
1994-02-25,"36",9.26,1.00628558178769,56,1994,2
1994-03-04,"21",8.98125,1.00156670096926,63,1994,3
1994-03-04,"22",9.00588235294118,1.00474749393818,63,1994,3
1994-03-04,"24",9.5,1.0640961422128,63,1994,3
1994-03-04,"27",11.05,1.24120976211387,63,1994,3
1994-03-04,"30",11.97,1.34272746418908,63,1994,3
1994-03-04,"34",11.95,1.3527668856518,63,1994,3
1994-03-04,"36",10.86,1.23299283819171,63,1994,3
1994-03-09,"21",8.9,1.01395264824516,68,1994,3
1994-03-09,"22",8.7625,0.996028616025,68,1994,3
1994-03-09,"24",8.7,0.984865106065805,68,1994,3
1994-03-09,"27",10.17,1.1658369285961,68,1994,3
1994-03-09,"30",12.46,1.43798978056293,68,1994,3
1994-03-09,"32",13.6888888888889,1.58278723597007,68,1994,3
1994-03-09,"34",14.55,1.69482554163718,68,1994,3
1994-03-09,"36",15.76,1.84285913727999,68,1994,3
1994-03-16,"18",8.55161290322581,0.98385044207551,75,1994,3
1994-03-16,"21",8.50625,0.98381897722955,75,1994,3
1994-03-16,"22",8.5,0.981785486057083,75,1994,3
1994-03-16,"24",8.6,1.00124056878545,75,1994,3
1994-03-16,"27",9.27,1.08618574775411,75,1994,3
1994-03-16,"30",NA,NA,75,1994,3
1994-03-16,"32",NA,NA,75,1994,3
1994-03-16,"34",NA,NA,75,1994,3
1994-03-16,"36",NA,NA,75,1994,3
1994-03-29,"21",7.9,0.908358819940379,88,1994,3
1994-03-29,"22",7.9,0.908181728085031,88,1994,3
1994-03-29,"24",7.9,0.906994831558964,88,1994,3
1994-03-29,"27",7.8,0.899507613467663,88,1994,3
1994-03-29,"30",7.8,0.90411251162142,88,1994,3
1994-03-29,"32",7.81111111111111,0.907686371198757,88,1994,3
